epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49.9006,1.14907,1.20105,1.29411,0.68514,0.6821,0.71517,0.44976,1.15693,1.10549,1.32221,0.00183764,0.00183764,0.00183764
43,50.9959,1.23315,1.21468,1.34408,0.70695,0.7351,0.76467,0.46671,1.09932,1.5263,1.33028,0.00183368,0.00183368,0.00183368
44,52.1216,1.2209,1.17701,1.31755,0.76476,0.66741,0.77437,0.4729,1.18175,1.40498,1.33702,0.00182972,0.00182972,0.00182972
45,53.1903,1.16024,1.30494,1.32784,0.70499,0.69536,0.74894,0.46435,1.16229,1.18734,1.31015,0.00182576,0.00182576,0.00182576
46,54.2824,1.18693,1.22287,1.31163,0.71004,0.75276,0.77479,0.48694,1.0501,1.23032,1.27079,0.0018218,0.0018218,0.0018218
47,55.3911,1.14551,1.19595,1.25056,0.72923,0.64803,0.73302,0.46985,1.12548,1.16325,1.31145,0.00181784,0.00181784,0.00181784
48,56.443,1.16479,1.23161,1.28579,0.71876,0.7064,0.75841,0.4881,1.11728,1.14257,1.35746,0.00181388,0.00181388,0.00181388
49,57.497,1.14721,1.20333,1.303,0.7403,0.69757,0.75635,0.4791,1.092,1.10058,1.32583,0.00180992,0.00180992,0.00180992
50,58.5716,1.15415,1.19459,1.31436,0.74926,0.64459,0.73931,0.47758,1.08633,1.0794,1.26319,0.00180596,0.00180596,0.00180596
51,59.6415,1.14202,1.11738,1.25363,0.70462,0.7109,0.75032,0.46916,1.09656,1.34506,1.30155,0.001802,0.001802,0.001802
52,60.6997,1.15809,1.12552,1.26422,0.70146,0.64459,0.72428,0.44658,1.1787,1.17857,1.29608,0.00179804,0.00179804,0.00179804
53,61.7713,1.17763,1.22742,1.29031,0.7528,0.70199,0.76804,0.482,1.09098,1.07767,1.25736,0.00179408,0.00179408,0.00179408
54,62.8414,1.10376,1.10172,1.26579,0.68713,0.72406,0.74129,0.45643,1.1256,1.19674,1.31324,0.00179012,0.00179012,0.00179012
55,63.8987,1.23028,1.2211,1.34444,0.71999,0.68874,0.77266,0.48689,1.089,1.08862,1.29603,0.00178616,0.00178616,0.00178616
56,64.9491,1.13204,1.13954,1.26984,0.73502,0.62252,0.72458,0.45628,1.14593,1.1795,1.32596,0.0017822,0.0017822,0.0017822
57,66.2393,1.0974,1.06939,1.24483,0.71705,0.71965,0.77239,0.48655,1.12167,1.13142,1.31237,0.00177824,0.00177824,0.00177824
58,67.326,1.14458,1.0949,1.26368,0.7718,0.67193,0.77261,0.48063,1.08954,1.33045,1.32981,0.00177428,0.00177428,0.00177428
59,68.4505,1.11345,1.11544,1.267,0.73022,0.72897,0.77147,0.499,1.11886,1.28391,1.26996,0.00177032,0.00177032,0.00177032
60,69.5466,1.10443,1.10923,1.25845,0.74989,0.67511,0.74233,0.48252,1.14822,1.1707,1.28884,0.00176636,0.00176636,0.00176636
61,70.6254,1.12185,1.12065,1.25551,0.7739,0.68002,0.78236,0.51265,1.07223,1.09805,1.23059,0.0017624,0.0017624,0.0017624
62,71.7676,1.14091,1.08082,1.25483,0.74789,0.75497,0.78364,0.51176,1.03853,1.29277,1.22396,0.00175844,0.00175844,0.00175844
63,72.8956,1.0966,1.07396,1.21343,0.75622,0.75327,0.79939,0.50903,1.03635,1.31208,1.23988,0.00175448,0.00175448,0.00175448
64,74.0117,1.05794,1.06372,1.21537,0.79451,0.71302,0.81947,0.53595,1.10848,1.01564,1.26743,0.00175052,0.00175052,0.00175052
65,75.0963,1.11931,1.08473,1.23145,0.79426,0.71082,0.81027,0.52885,1.07869,1.051,1.25842,0.00174656,0.00174656,0.00174656
66,76.2252,1.06469,1.01928,1.20812,0.77391,0.71029,0.79334,0.52397,1.08837,1.11002,1.25719,0.0017426,0.0017426,0.0017426
67,77.2882,1.15171,1.05124,1.26065,0.74637,0.72757,0.79564,0.51954,1.08863,1.09631,1.26245,0.00173864,0.00173864,0.00173864
68,78.3472,1.03087,0.98784,1.21159,0.79181,0.74834,0.81759,0.53851,1.06134,1.0025,1.25118,0.00173468,0.00173468,0.00173468
69,79.4089,1.12266,1.12391,1.26648,0.7391,0.71082,0.79087,0.52288,1.02831,1.11936,1.24276,0.00173072,0.00173072,0.00173072
70,80.4548,1.07618,1.07314,1.24373,0.77522,0.73088,0.81033,0.53712,1.10267,1.04176,1.27249,0.00172676,0.00172676,0.00172676
71,81.5264,1.1031,1.1569,1.27873,0.77858,0.72406,0.80898,0.53989,1.0606,1.06128,1.25984,0.0017228,0.0017228,0.0017228
72,82.611,1.07195,1.07009,1.25302,0.75768,0.73951,0.82084,0.55039,1.06104,1.14059,1.24856,0.00171884,0.00171884,0.00171884
73,83.6981,1.11593,1.1697,1.28542,0.73464,0.72727,0.7804,0.51196,1.11615,1.12961,1.26406,0.00171488,0.00171488,0.00171488
74,85.168,1.16211,1.10829,1.28186,0.74831,0.68653,0.76025,0.5157,1.02256,1.08863,1.21399,0.00171092,0.00171092,0.00171092
75,86.195,1.15165,1.12065,1.27903,0.71101,0.74614,0.77174,0.49032,1.14536,0.99309,1.24727,0.00170696,0.00170696,0.00170696
76,87.2584,1.1222,1.12535,1.25075,0.80512,0.72048,0.7887,0.51974,1.02132,1.00519,1.2395,0.001703,0.001703,0.001703
77,88.2981,1.07436,1.02979,1.22077,0.77812,0.72627,0.79585,0.50788,1.06848,1.07706,1.27514,0.00169904,0.00169904,0.00169904
78,89.3419,1.1112,1.045,1.24406,0.75067,0.75055,0.81109,0.53251,1.081,0.98819,1.27454,0.00169508,0.00169508,0.00169508
79,90.4006,1.02496,0.99035,1.20919,0.71244,0.73731,0.78806,0.53032,1.05956,1.02509,1.25365,0.00169112,0.00169112,0.00169112
80,91.4477,1.06705,1.00286,1.21471,0.80248,0.71744,0.8153,0.54079,1.07807,1.00892,1.2186,0.00168716,0.00168716,0.00168716
81,92.4742,1.13854,1.0764,1.25566,0.806,0.70419,0.80592,0.53911,1.03516,0.95269,1.1904,0.0016832,0.0016832,0.0016832
82,93.5484,1.02353,0.974,1.21541,0.75418,0.73821,0.80477,0.53902,0.97001,0.91975,1.15661,0.00167924,0.00167924,0.00167924
83,94.5926,1.02733,1.00915,1.22071,0.74242,0.68718,0.76727,0.51528,0.97392,0.97817,1.18981,0.00167528,0.00167528,0.00167528
84,95.6396,1.13986,1.0958,1.27706,0.79092,0.7351,0.82335,0.55215,1.04134,0.96993,1.21231,0.00167132,0.00167132,0.00167132
85,96.6967,1.09326,1.05304,1.24228,0.80189,0.77483,0.83838,0.56379,1.02433,0.93237,1.19666,0.00166736,0.00166736,0.00166736
86,97.7637,1.11732,1.08134,1.25778,0.75286,0.71523,0.78069,0.48545,1.07812,1.00457,1.25394,0.0016634,0.0016634,0.0016634
87,98.8082,1.1785,1.12166,1.27655,0.7976,0.71523,0.81599,0.51616,1.10133,1.06687,1.28556,0.00165944,0.00165944,0.00165944
88,99.8458,1.09373,1.07813,1.25654,0.79393,0.7351,0.82238,0.54171,1.01884,1.02466,1.23876,0.00165548,0.00165548,0.00165548
89,100.864,1.03791,1.0035,1.19062,0.73268,0.75717,0.81197,0.52741,1.0012,1.06773,1.22122,0.00165152,0.00165152,0.00165152
90,101.896,1.05154,0.99601,1.20361,0.79712,0.71989,0.82413,0.54673,1.03096,0.96223,1.24478,0.00164756,0.00164756,0.00164756
91,102.945,1.08627,0.96562,1.21979,0.81475,0.69903,0.81552,0.54524,1.01996,0.99761,1.25668,0.0016436,0.0016436,0.0016436
92,103.984,1.12691,1.09854,1.28407,0.79407,0.69536,0.80841,0.5404,0.98995,0.99323,1.20931,0.00163964,0.00163964,0.00163964
93,105.17,0.99796,0.98501,1.19329,0.76074,0.76506,0.81866,0.55298,0.93063,1.20683,1.18443,0.00163568,0.00163568,0.00163568
94,106.209,1.05708,1.00342,1.22415,0.78665,0.68874,0.79131,0.5312,1.03765,1.27568,1.26611,0.00163172,0.00163172,0.00163172
95,107.245,0.97822,0.93834,1.169,0.75444,0.79029,0.78106,0.50018,1.04318,1.07339,1.25679,0.00162776,0.00162776,0.00162776
96,108.293,1.09525,0.98251,1.22643,0.77727,0.76265,0.81063,0.52902,1.02262,0.94912,1.23388,0.0016238,0.0016238,0.0016238
97,109.324,1.00149,0.94245,1.18971,0.7929,0.72185,0.80035,0.52271,0.99446,0.95772,1.21984,0.00161984,0.00161984,0.00161984
