epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3778.25,1.44823,2.93097,1.24591,1.37072,0.76284,0.71007,0.79267,0.4913,0.73618,0.6777,0.74547,0.36903,1.18278,2.85595,1.22618,1.325,0.0018086,0.0018086,0.0018086
31,3896.48,1.45284,2.87084,1.20645,1.33325,0.74191,0.68534,0.73352,0.45821,0.76038,0.66446,0.72196,0.38911,1.15009,2.58372,1.18716,1.31133,0.001802,0.001802,0.001802
32,4012.63,1.40098,2.79717,1.21606,1.37576,0.75,0.67329,0.74724,0.46298,0.72929,0.64238,0.69282,0.35477,1.17458,2.86168,1.21723,1.3107,0.0017954,0.0017954,0.0017954
33,4130.78,1.40439,2.77253,1.22119,1.35561,0.74266,0.66254,0.73596,0.45597,0.71344,0.63355,0.689,0.36548,1.21485,2.77329,1.31772,1.30318,0.0017888,0.0017888,0.0017888
34,4250.37,1.41267,2.83475,1.23501,1.33463,0.73427,0.74393,0.78829,0.50486,0.75419,0.69095,0.74846,0.41504,1.13512,2.50097,1.14521,1.27326,0.0017822,0.0017822,0.0017822
35,4681.63,1.42646,2.85718,1.18736,1.33566,0.77207,0.72531,0.7936,0.49885,0.77138,0.71504,0.78898,0.43214,1.16905,2.85288,1.43161,1.32854,0.0017756,0.0017756,0.0017756
36,5079.15,1.41018,2.81413,1.22824,1.33057,0.75019,0.72848,0.80356,0.51235,0.74312,0.72161,0.77469,0.43417,1.13604,2.44946,1.20129,1.25393,0.001769,0.001769,0.001769
37,5385.84,1.38807,2.80695,1.18122,1.36087,0.80536,0.66679,0.77877,0.48072,0.80424,0.65563,0.75111,0.39737,1.16997,2.66141,1.23688,1.27978,0.0017624,0.0017624,0.0017624
38,5661.07,1.42581,2.85569,1.17429,1.32444,0.78429,0.75497,0.82146,0.50265,0.77443,0.74274,0.80593,0.43487,1.18817,2.36029,1.22706,1.30323,0.0017558,0.0017558,0.0017558
39,5938.3,1.36712,2.75446,1.17072,1.29273,0.73033,0.74134,0.78642,0.4986,0.72489,0.73288,0.7657,0.42641,1.07977,2.57372,1.28784,1.25977,0.0017492,0.0017492,0.0017492
40,6233.13,1.40942,2.8798,1.1963,1.34627,0.76456,0.71684,0.77927,0.49314,0.76337,0.66446,0.74053,0.41365,1.20391,2.75883,1.21631,1.33991,0.0017426,0.0017426,0.0017426
41,6549.87,1.3494,2.72526,1.17823,1.31447,0.76255,0.73729,0.79061,0.48988,0.80219,0.69829,0.76793,0.44133,1.15014,2.41758,1.18596,1.32928,0.001736,0.001736,0.001736
42,6976.04,1.37985,2.80294,1.1795,1.33633,0.72065,0.67329,0.76521,0.49172,0.7745,0.6468,0.75286,0.40459,1.14758,2.75266,1.21925,1.33291,0.0017294,0.0017294,0.0017294
43,7431.77,1.37387,2.70255,1.17595,1.33054,0.75889,0.72406,0.78038,0.48521,0.72556,0.69757,0.71698,0.39067,1.17865,2.6166,1.14821,1.33454,0.0017228,0.0017228,0.0017228
