epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,265.772,0.40527,0.45569,0.14007,0.76286,0.73143,0.78067,0.52101,0.33901,0.52507,0.23384,0.00183764,0.00183764,0.00183764
43,272.027,0.41149,0.44528,0.13191,0.80427,0.72848,0.81025,0.57863,0.30576,0.49085,0.20848,0.00183368,0.00183368,0.00183368
44,278.083,0.39306,0.45839,0.12524,0.79924,0.77704,0.83599,0.60672,0.2842,0.48323,0.18125,0.00182972,0.00182972,0.00182972
45,284.594,0.38975,0.4344,0.12414,0.86453,0.71848,0.82988,0.60299,0.26955,0.52481,0.17691,0.00182576,0.00182576,0.00182576
46,290.697,0.37738,0.434,0.11899,0.75151,0.7638,0.80461,0.58381,0.33105,0.48322,0.23917,0.0018218,0.0018218,0.0018218
47,297.001,0.37929,0.43799,0.1206,0.78335,0.79021,0.82262,0.58691,0.31409,0.49064,0.2204,0.00181784,0.00181784,0.00181784
48,303.052,0.36572,0.441,0.13559,0.78747,0.72185,0.79961,0.56571,0.30646,0.48382,0.19379,0.00181388,0.00181388,0.00181388
49,309.075,0.39903,0.45512,0.12466,0.80232,0.73467,0.80584,0.56731,0.31416,0.52197,0.19914,0.00180992,0.00180992,0.00180992
50,315.086,0.40258,0.46538,0.12156,0.84296,0.72185,0.80686,0.56284,0.30311,0.46425,0.19384,0.00180596,0.00180596,0.00180596
51,321.279,0.41603,0.46335,0.1294,0.83201,0.69757,0.79876,0.55481,0.33708,0.49122,0.23937,0.001802,0.001802,0.001802
52,327.338,0.39053,0.45646,0.12976,0.77581,0.74834,0.81336,0.56142,0.35276,0.53545,0.26037,0.00179804,0.00179804,0.00179804
53,333.336,0.39452,0.45182,0.1419,0.80322,0.75497,0.81869,0.59019,0.2942,0.49643,0.20788,0.00179408,0.00179408,0.00179408
54,339.39,0.38072,0.43641,0.12537,0.74989,0.82561,0.83414,0.60882,0.29297,0.46544,0.20914,0.00179012,0.00179012,0.00179012
55,346.162,0.38787,0.43838,0.13015,0.82135,0.77131,0.82475,0.60232,0.31581,0.44286,0.22506,0.00178616,0.00178616,0.00178616
56,352.221,0.35558,0.42804,0.12392,0.80887,0.77925,0.82941,0.5928,0.32082,0.45505,0.23445,0.0017822,0.0017822,0.0017822
57,358.198,0.36075,0.44631,0.13199,0.79095,0.76821,0.81587,0.58495,0.32248,0.4597,0.23785,0.00177824,0.00177824,0.00177824
58,364.252,0.38948,0.45773,0.11774,0.80123,0.74745,0.80586,0.57515,0.34504,0.44353,0.25788,0.00177428,0.00177428,0.00177428
59,370.492,0.3606,0.43927,0.1116,0.81321,0.71082,0.79984,0.59447,0.29651,0.50641,0.20607,0.00177032,0.00177032,0.00177032
60,376.598,0.36076,0.41824,0.11881,0.82891,0.74834,0.83963,0.61621,0.3185,0.44267,0.23156,0.00176636,0.00176636,0.00176636
61,383.055,0.36833,0.4302,0.13525,0.81522,0.74989,0.82256,0.59118,0.31162,0.45776,0.22435,0.0017624,0.0017624,0.0017624
62,389.355,0.34878,0.42874,0.10642,0.83496,0.73289,0.82735,0.61129,0.29287,0.44724,0.20393,0.00175844,0.00175844,0.00175844
63,395.541,0.35215,0.42019,0.13268,0.81911,0.79968,0.85607,0.63517,0.28734,0.44288,0.20632,0.00175448,0.00175448,0.00175448
64,402.145,0.36502,0.43606,0.12921,0.7993,0.77367,0.83245,0.60117,0.30461,0.49152,0.20118,0.00175052,0.00175052,0.00175052
65,408.187,0.37948,0.43766,0.10791,0.79404,0.79147,0.83968,0.5915,0.3292,0.48367,0.23007,0.00174656,0.00174656,0.00174656
66,414.205,0.38413,0.44313,0.13087,0.81689,0.74393,0.8257,0.58818,0.30344,0.47555,0.21135,0.0017426,0.0017426,0.0017426
67,420.392,0.39381,0.45191,0.11496,0.79838,0.74172,0.81387,0.5816,0.31197,0.46663,0.21715,0.00173864,0.00173864,0.00173864
