epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65275,1.27855,2.46145,0.00937,0.57171,0.5298,0.54656,0.36483,0.92892,2.26476,0.00958,0.00028,0.00028,0.00028
2,5.96029,1.19956,2.33013,0.00827,0.56605,0.52097,0.54005,0.34558,0.96503,2.1234,0.00944,0.00052258,0.00052258,0.00052258
3,8.8211,1.24401,2.19952,0.00802,0.52247,0.52539,0.52584,0.32292,0.99745,2.05439,0.00995,0.00070576,0.00070576,0.00070576
4,11.0611,1.31889,2.39735,0.00917,0.58315,0.48175,0.53257,0.32831,1.09962,1.98417,0.01174,0.00082954,0.00082954,0.00082954
5,13.2516,1.2242,2.12294,0.00896,0.58082,0.57395,0.60243,0.38895,1.05283,1.81313,0.01091,0.00089392,0.00089392,0.00089392
6,15.4374,1.30213,2.17413,0.00997,0.59328,0.56954,0.60971,0.35094,1.20185,1.71542,0.01239,0.0008989,0.0008989,0.0008989
7,17.586,1.23762,2.03667,0.00922,0.63885,0.55188,0.61281,0.39456,1.03462,1.67349,0.01062,0.000812,0.000812,0.000812
8,19.8167,1.27242,2.02923,0.00929,0.68675,0.56954,0.67338,0.43227,1.0928,1.52277,0.01183,0.000614,0.000614,0.000614
9,22.1656,1.31575,2.0501,0.00932,0.71449,0.59662,0.66905,0.42057,1.03857,1.48987,0.01057,0.000416,0.000416,0.000416
10,24.318,1.26865,1.92271,0.00861,0.70231,0.60706,0.68058,0.44001,0.97687,1.44724,0.00991,0.000218,0.000218,0.000218
