epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,257.233,0.26948,0.33532,0.08207,0.83802,0.75717,0.83519,0.61785,0.32022,0.43768,0.23535,0.00183764,0.00183764,0.00183764
43,263.496,0.2785,0.33509,0.07392,0.86124,0.73985,0.83813,0.62321,0.31109,0.49137,0.21745,0.00183368,0.00183368,0.00183368
44,269.573,0.28212,0.3429,0.08277,0.80634,0.79965,0.83968,0.61321,0.31138,0.46561,0.21905,0.00182972,0.00182972,0.00182972
45,275.575,0.28428,0.34271,0.0815,0.83306,0.76821,0.83743,0.60249,0.30895,0.50954,0.21331,0.00182576,0.00182576,0.00182576
46,281.65,0.27475,0.33759,0.07706,0.83473,0.77263,0.84075,0.62971,0.2827,0.43197,0.21558,0.0018218,0.0018218,0.0018218
47,287.918,0.26977,0.33372,0.07661,0.85035,0.75938,0.84395,0.6231,0.29869,0.42739,0.20439,0.00181784,0.00181784,0.00181784
48,294.051,0.25174,0.32577,0.08108,0.79806,0.77644,0.82944,0.61607,0.30234,0.48672,0.21255,0.00181388,0.00181388,0.00181388
49,300.075,0.28424,0.3432,0.08119,0.82157,0.79029,0.84751,0.61729,0.30442,0.43947,0.22897,0.00180992,0.00180992,0.00180992
50,306.123,0.29118,0.33671,0.07609,0.80755,0.78366,0.8424,0.6164,0.29867,0.4693,0.22107,0.00180596,0.00180596,0.00180596
51,312.164,0.28883,0.33965,0.08264,0.80372,0.76821,0.8437,0.61695,0.29011,0.48973,0.21544,0.001802,0.001802,0.001802
