epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65.4235,1.27579,1.36691,1.38488,0.67408,0.68027,0.72388,0.45324,1.15838,1.2512,1.34356,0.00183764,0.00183764,0.00183764
43,66.8462,1.31313,1.39666,1.39419,0.6865,0.61874,0.68532,0.42363,1.24791,1.26427,1.37883,0.00183368,0.00183368,0.00183368
44,68.2903,1.25455,1.35977,1.34953,0.75055,0.64018,0.71962,0.41489,1.24771,1.46391,1.43062,0.00182972,0.00182972,0.00182972
45,69.716,1.21292,1.41173,1.34906,0.68135,0.69536,0.7349,0.46133,1.12862,1.22763,1.35253,0.00182576,0.00182576,0.00182576
46,71.1805,1.20668,1.26244,1.31409,0.66991,0.672,0.72583,0.46585,1.18938,1.20785,1.38614,0.0018218,0.0018218,0.0018218
47,72.6341,1.21703,1.28986,1.34982,0.66601,0.69978,0.75427,0.47889,1.13429,1.17574,1.33599,0.00181784,0.00181784,0.00181784
48,74.1002,1.17659,1.22013,1.32001,0.75163,0.60706,0.72594,0.45136,1.16138,1.16594,1.33066,0.00181388,0.00181388,0.00181388
49,75.5192,1.25877,1.35189,1.37265,0.7244,0.64238,0.72733,0.46574,1.21342,1.29118,1.39483,0.00180992,0.00180992,0.00180992
50,76.9446,1.16945,2.30091,1.26934,0.68242,0.63355,0.70784,0.42898,1.24971,1.24733,1.3407,0.00180596,0.00180596,0.00180596
51,78.3553,1.32129,1.45516,1.41442,0.69393,0.66446,0.71341,0.43488,1.17301,1.22187,1.34225,0.001802,0.001802,0.001802
52,79.8266,1.23595,1.41168,1.32793,0.73082,0.6755,0.76077,0.48862,1.10814,1.1457,1.27187,0.00179804,0.00179804,0.00179804
53,81.252,1.26364,1.35385,1.35949,0.66552,0.6755,0.71611,0.44998,1.11266,1.28153,1.28698,0.00179408,0.00179408,0.00179408
54,82.6633,1.20158,1.29796,1.32647,0.71528,0.69316,0.75959,0.482,1.16104,1.1192,1.32266,0.00179012,0.00179012,0.00179012
55,84.061,1.23919,1.31487,1.38328,0.74189,0.70199,0.77577,0.50113,1.13058,1.13586,1.32495,0.00178616,0.00178616,0.00178616
56,85.5439,1.24771,1.36462,1.35868,0.73383,0.74252,0.77452,0.48186,1.14437,1.06555,1.33766,0.0017822,0.0017822,0.0017822
57,87.1085,1.13836,2.2616,1.2514,0.74536,0.65909,0.75721,0.4717,1.17705,1.22854,1.35269,0.00177824,0.00177824,0.00177824
58,88.5173,1.27333,1.30506,1.34781,0.71453,0.67409,0.7372,0.45437,1.17106,1.30667,1.35434,0.00177428,0.00177428,0.00177428
59,90.002,1.22719,1.2548,1.32143,0.75104,0.69978,0.76907,0.49,1.04048,1.18793,1.26564,0.00177032,0.00177032,0.00177032
60,91.4786,1.31071,1.38196,1.35985,0.70149,0.68653,0.7466,0.47143,1.16987,1.14489,1.33304,0.00176636,0.00176636,0.00176636
61,92.8986,1.19322,1.22381,1.31071,0.80289,0.66887,0.78037,0.49875,1.13747,1.08094,1.31596,0.0017624,0.0017624,0.0017624
62,94.3667,1.22144,1.30266,1.33224,0.7361,0.69095,0.7349,0.45848,1.13065,1.18452,1.29918,0.00175844,0.00175844,0.00175844
63,95.7573,1.21617,1.27015,1.33738,0.74365,0.65318,0.75347,0.46745,1.16383,1.09243,1.32091,0.00175448,0.00175448,0.00175448
64,97.1904,1.21622,1.27745,1.3432,0.70903,0.66225,0.72427,0.44881,1.12886,1.11496,1.28272,0.00175052,0.00175052,0.00175052
65,98.596,1.29255,1.30378,1.3855,0.74684,0.70861,0.76611,0.46276,1.10007,1.14354,1.29263,0.00174656,0.00174656,0.00174656
66,99.99,1.28388,1.36035,1.37629,0.73705,0.6559,0.74348,0.47469,1.08517,1.11627,1.2946,0.0017426,0.0017426,0.0017426
67,101.404,1.18076,1.2193,1.32494,0.7948,0.63576,0.75902,0.49351,1.10673,1.10795,1.30322,0.00173864,0.00173864,0.00173864
68,102.834,1.12916,1.18568,1.27553,0.74141,0.7342,0.79848,0.51693,1.02517,1.03167,1.25662,0.00173468,0.00173468,0.00173468
69,104.318,1.28057,1.25974,1.34707,0.71936,0.73068,0.79146,0.51062,1.08751,1.12496,1.26322,0.00173072,0.00173072,0.00173072
70,105.761,1.20128,1.19022,1.291,0.78163,0.67951,0.7726,0.4996,1.0776,1.07427,1.26679,0.00172676,0.00172676,0.00172676
71,107.212,1.17297,1.20299,1.30174,0.78781,0.70483,0.80166,0.51982,1.10746,1.10355,1.29621,0.0017228,0.0017228,0.0017228
72,108.738,1.15904,1.12687,1.29662,0.75045,0.69978,0.7721,0.51467,1.08991,1.17846,1.29443,0.00171884,0.00171884,0.00171884
73,110.15,1.11482,1.18263,1.27262,0.7696,0.70051,0.76854,0.50661,1.07475,1.06266,1.28623,0.00171488,0.00171488,0.00171488
74,111.635,1.23195,1.21295,1.33984,0.73373,0.69536,0.73482,0.48861,1.07214,1.20211,1.27151,0.00171092,0.00171092,0.00171092
75,113.06,1.16178,1.23595,1.30027,0.7545,0.71302,0.80014,0.51461,1.12327,1.09309,1.29012,0.00170696,0.00170696,0.00170696
76,114.687,1.08062,1.18727,1.21516,0.74347,0.76775,0.81018,0.52109,1.04756,1.04665,1.25859,0.001703,0.001703,0.001703
77,116.193,1.13521,1.16507,1.25916,0.75353,0.74241,0.80345,0.52069,1.09748,0.98953,1.28295,0.00169904,0.00169904,0.00169904
78,117.645,1.28193,1.35624,1.35766,0.78249,0.73855,0.81007,0.50999,1.13731,1.05132,1.33378,0.00169508,0.00169508,0.00169508
79,119.092,1.24419,1.23685,1.34054,0.76381,0.71302,0.79619,0.51449,1.10811,1.20684,1.31622,0.00169112,0.00169112,0.00169112
80,120.541,1.20247,1.1965,1.28519,0.76924,0.72117,0.80542,0.51701,1.08902,1.13624,1.26737,0.00168716,0.00168716,0.00168716
81,121.977,1.14256,1.1398,1.27468,0.78694,0.70935,0.80522,0.53706,1.03693,1.2035,1.27133,0.0016832,0.0016832,0.0016832
82,123.475,1.20739,1.20218,1.32907,0.72986,0.73957,0.77746,0.50685,1.11999,1.10753,1.29407,0.00167924,0.00167924,0.00167924
83,124.926,1.20343,1.09441,1.31211,0.7639,0.69757,0.77748,0.48214,1.16021,1.09412,1.33387,0.00167528,0.00167528,0.00167528
84,126.389,1.14529,1.17012,1.28691,0.77509,0.70752,0.78636,0.51137,1.04031,1.02097,1.26725,0.00167132,0.00167132,0.00167132
85,127.847,1.18075,1.18714,1.30255,0.80967,0.6777,0.77898,0.50637,1.15839,1.03184,1.32193,0.00166736,0.00166736,0.00166736
86,129.298,1.15291,1.19172,1.27993,0.7597,0.63509,0.72839,0.47054,1.1046,1.10695,1.25496,0.0016634,0.0016634,0.0016634
87,130.747,1.10797,1.12628,1.23131,0.71438,0.67991,0.76173,0.47938,1.13243,1.11185,1.30227,0.00165944,0.00165944,0.00165944
88,132.239,1.19335,1.2022,1.32824,0.73218,0.68798,0.73758,0.46667,1.08378,1.1229,1.29632,0.00165548,0.00165548,0.00165548
89,133.656,1.1117,1.08767,1.2677,0.74746,0.62252,0.7171,0.46412,1.0711,1.11367,1.26318,0.00165152,0.00165152,0.00165152
90,135.094,1.19219,1.21176,1.32878,0.77094,0.62693,0.75158,0.47784,1.13244,1.13767,1.2656,0.00164756,0.00164756,0.00164756
91,136.529,1.21752,1.26132,1.33455,0.72515,0.629,0.72241,0.45288,1.13077,1.15944,1.31131,0.0016436,0.0016436,0.0016436
92,138.161,1.07737,1.11533,1.255,0.74944,0.75276,0.80063,0.51709,1.05024,0.99062,1.26233,0.00163964,0.00163964,0.00163964
93,139.619,1.1517,1.11273,1.27356,0.72415,0.77704,0.80887,0.52413,1.13368,0.99188,1.28118,0.00163568,0.00163568,0.00163568
94,141.064,1.09082,1.08919,1.24542,0.78454,0.72185,0.80929,0.53398,1.076,0.93938,1.28462,0.00163172,0.00163172,0.00163172
95,142.506,1.14989,1.18565,1.24989,0.7776,0.72627,0.79127,0.51125,1.08477,0.95795,1.31074,0.00162776,0.00162776,0.00162776
96,143.96,1.12803,1.10599,1.28488,0.75051,0.73048,0.78723,0.51182,1.03528,0.98452,1.28139,0.0016238,0.0016238,0.0016238
97,145.381,1.10584,1.10849,1.26859,0.78581,0.69536,0.80078,0.53969,1.02634,0.96676,1.26386,0.00161984,0.00161984,0.00161984
98,146.862,1.05115,1.03798,1.21591,0.79437,0.69536,0.78357,0.53842,1.04226,1.02679,1.27471,0.00161588,0.00161588,0.00161588
99,148.311,1.13253,1.11715,1.27635,0.76391,0.71428,0.79087,0.5386,1.00568,1.09432,1.24233,0.00161192,0.00161192,0.00161192
100,149.769,1.11299,1.08588,1.26804,0.79763,0.73955,0.81052,0.52918,1.06534,1.04954,1.27492,0.00160796,0.00160796,0.00160796
101,151.212,1.1083,1.13395,1.27204,0.78817,0.73951,0.79591,0.54872,0.98443,0.96445,1.23796,0.001604,0.001604,0.001604
102,152.709,1.102,1.28678,1.26023,0.77088,0.62693,0.74711,0.51607,0.99887,1.05706,1.26068,0.00160004,0.00160004,0.00160004
103,154.143,1.0592,1.07971,1.22262,0.72704,0.67617,0.74389,0.49479,1.07814,1.15508,1.30148,0.00159608,0.00159608,0.00159608
104,155.606,1.07028,1.1989,1.27482,0.76675,0.67108,0.75933,0.49036,1.0923,1.05649,1.32245,0.00159212,0.00159212,0.00159212
105,157.054,1.14056,1.18787,1.28999,0.75837,0.71364,0.78643,0.52025,1.06899,1.07898,1.3113,0.00158816,0.00158816,0.00158816
106,158.477,1.07445,1.4255,1.2053,0.73902,0.70419,0.76271,0.51388,1.01409,1.03036,1.26539,0.0015842,0.0015842,0.0015842
107,159.936,1.14691,1.17254,1.27994,0.72832,0.73731,0.7877,0.52877,0.98445,0.96546,1.22882,0.00158024,0.00158024,0.00158024
108,161.409,1.16548,1.16559,1.27505,0.73603,0.73731,0.78292,0.50307,1.18097,1.12725,1.32268,0.00157628,0.00157628,0.00157628
109,163.021,1.17575,1.15069,1.29344,0.75409,0.71523,0.78898,0.52077,1.06347,1.01474,1.32695,0.00157232,0.00157232,0.00157232
110,164.501,1.07382,1.09495,1.24587,0.75646,0.74834,0.80706,0.53363,1.04814,0.99607,1.28799,0.00156836,0.00156836,0.00156836
111,165.953,1.12373,1.08736,1.25534,0.75997,0.76159,0.80491,0.52899,1.03803,0.96995,1.28392,0.0015644,0.0015644,0.0015644
112,167.442,1.12971,1.14295,1.25323,0.77661,0.62693,0.73847,0.48827,1.09726,1.13062,1.29335,0.00156044,0.00156044,0.00156044
113,168.904,1.04892,1.07454,1.22799,0.7451,0.73731,0.7833,0.52327,1.04799,1.02198,1.26148,0.00155648,0.00155648,0.00155648
114,170.367,1.0947,1.05784,1.23347,0.74545,0.73051,0.79874,0.53726,1.01549,0.99059,1.24689,0.00155252,0.00155252,0.00155252
115,171.835,1.01821,1.02839,1.2281,0.80961,0.68653,0.78877,0.53444,1.01534,0.9462,1.25433,0.00154856,0.00154856,0.00154856
116,173.279,1.07204,1.07319,1.23457,0.75328,0.72848,0.80528,0.54453,1.03726,0.94676,1.2425,0.0015446,0.0015446,0.0015446
117,174.729,1.04288,1.06301,1.21327,0.76288,0.72443,0.79971,0.5232,1.07387,0.96123,1.25804,0.00154064,0.00154064,0.00154064
118,176.165,1.0705,0.99382,1.2045,0.79572,0.72627,0.81206,0.53507,1.0645,0.98516,1.22499,0.00153668,0.00153668,0.00153668
119,177.601,1.12042,1.07813,1.26433,0.78557,0.7351,0.80825,0.54304,0.98645,0.92442,1.20563,0.00153272,0.00153272,0.00153272
