epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37761,1.50194,2.78855,1.46983,0.0314,0.89404,0.23384,0.12753,1.08601,2.6508,1.09774,0.00028,0.00028,0.00028
2,5.78557,1.36562,1.84189,1.36588,0.03479,0.51435,0.2559,0.14075,1.11551,2.68392,1.14844,0.00052258,0.00052258,0.00052258
3,7.24171,1.41203,1.6333,1.35401,0.64707,0.10596,0.20429,0.10437,1.15071,2.69549,1.2537,0.00070576,0.00070576,0.00070576
4,8.60582,1.37832,1.6827,1.31604,0.49554,0.26711,0.32863,0.16749,1.37278,2.25373,1.33047,0.00082954,0.00082954,0.00082954
5,9.99511,1.41221,1.66834,1.35963,0.43535,0.27594,0.32747,0.18187,1.2025,1.99264,1.27539,0.00089392,0.00089392,0.00089392
6,11.356,1.41755,1.57649,1.37384,0.37977,0.40145,0.33388,0.16983,1.27821,2.06648,1.3929,0.0008989,0.0008989,0.0008989
7,12.6506,1.31784,1.44971,1.30479,0.46777,0.49007,0.46091,0.25281,1.28672,1.89916,1.39292,0.000812,0.000812,0.000812
8,14.0235,1.29079,1.44013,1.2866,0.49575,0.61589,0.54903,0.31063,1.24737,1.61434,1.30884,0.000614,0.000614,0.000614
9,15.3645,1.32059,1.43256,1.30787,0.57841,0.57846,0.57853,0.34461,1.21177,1.56532,1.30715,0.000416,0.000416,0.000416
10,17.1552,1.24654,1.36085,1.27979,0.73179,0.5872,0.67678,0.41902,1.11188,1.45568,1.25219,0.000218,0.000218,0.000218
