epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3220.33,1.41899,2.73662,1.20948,1.34031,0.79287,0.66446,0.75948,0.45935,0.80044,0.65784,0.7424,0.37144,1.16178,2.61175,1.28918,1.27007,0.0018086,0.0018086,0.0018086
31,3326.55,1.42062,2.67225,1.18688,1.30941,0.75626,0.65752,0.77122,0.49806,0.71297,0.65121,0.74715,0.41465,1.11188,2.49816,1.18051,1.27013,0.001802,0.001802,0.001802
32,3431.11,1.36931,2.58792,1.17677,1.32977,0.79683,0.62693,0.72233,0.45308,0.76877,0.60486,0.68566,0.37267,1.20213,2.49697,1.25174,1.31121,0.0017954,0.0017954,0.0017954
33,3535.25,1.3661,2.56702,1.20416,1.3021,0.71174,0.66446,0.72464,0.45983,0.68809,0.64238,0.67765,0.35158,1.16778,2.929,1.22439,1.28314,0.0017888,0.0017888,0.0017888
34,3640.65,1.42489,2.60476,1.21838,1.336,0.73291,0.71479,0.75591,0.46584,0.72216,0.68854,0.72793,0.40054,1.15396,2.43951,1.09184,1.27674,0.0017822,0.0017822,0.0017822
35,3747.96,1.40472,2.65766,1.17931,1.30666,0.72731,0.72406,0.77519,0.47474,0.73727,0.72627,0.78318,0.40947,1.15346,2.73112,1.1374,1.26727,0.0017756,0.0017756,0.0017756
36,3853.9,1.36484,2.59674,1.1772,1.30213,0.77746,0.70952,0.79537,0.49802,0.79028,0.71082,0.79458,0.43834,1.10382,2.51788,1.0964,1.24566,0.001769,0.001769,0.001769
37,3958.32,1.35977,2.52728,1.12561,1.32177,0.79022,0.70199,0.78746,0.47773,0.78276,0.69536,0.77426,0.41782,1.1804,2.7074,1.11524,1.28775,0.0017624,0.0017624,0.0017624
38,4067.34,1.38262,2.63467,1.14194,1.30389,0.69964,0.65563,0.71776,0.44483,0.73701,0.64957,0.73321,0.41211,1.20587,2.49546,1.3663,1.30544,0.0017558,0.0017558,0.0017558
39,4173.6,1.33476,2.52331,1.15007,1.2738,0.71043,0.69757,0.74674,0.46086,0.71313,0.70242,0.74415,0.42115,1.1881,2.58869,1.24565,1.29026,0.0017492,0.0017492,0.0017492
40,4280.76,1.37135,2.6729,1.17788,1.31904,0.77784,0.74614,0.79731,0.50541,0.7648,0.71744,0.75878,0.41312,1.07225,2.52881,1.10021,1.23701,0.0017426,0.0017426,0.0017426
41,4386.66,1.31727,2.50108,1.14652,1.28314,0.74275,0.75207,0.79333,0.51053,0.72702,0.73951,0.74938,0.39997,1.08464,2.65501,1.02623,1.22668,0.001736,0.001736,0.001736
42,4491.91,1.32729,2.53247,1.1767,1.29593,0.72674,0.69536,0.76529,0.49472,0.76142,0.66224,0.75311,0.41287,1.05257,2.41619,1.07978,1.22354,0.0017294,0.0017294,0.0017294
43,4595.3,1.30585,2.46349,1.12641,1.29495,0.72096,0.66733,0.7405,0.45235,0.72996,0.6564,0.72572,0.39628,1.2208,2.65299,1.13021,1.34975,0.0017228,0.0017228,0.0017228
44,4700.43,1.31968,2.47645,1.06257,1.27651,0.71245,0.70557,0.74551,0.45826,0.72823,0.68433,0.72757,0.3908,1.14267,2.51919,1.22453,1.30833,0.0017162,0.0017162,0.0017162
45,4806.55,1.32822,2.44413,1.05842,1.25306,0.72814,0.72185,0.77881,0.49251,0.75669,0.72185,0.78472,0.46482,1.14867,2.3987,1.25582,1.31044,0.0017096,0.0017096,0.0017096
