epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80854,0.38707,0.51511,0.16422,0.82182,0.75497,0.81445,0.58846,0.30424,0.44972,0.21037,0.00028,0.00028,0.00028
2,13.5267,0.36654,0.50925,0.1447,0.78743,0.73951,0.80538,0.56794,0.31412,0.44111,0.22254,0.00052258,0.00052258,0.00052258
3,19.8172,0.37571,0.49825,0.14039,0.84402,0.7167,0.81202,0.55957,0.34453,0.46586,0.24094,0.00070576,0.00070576,0.00070576
4,26.2322,0.39345,0.46594,0.16157,0.77334,0.70199,0.77786,0.56676,0.28129,0.53584,0.17279,0.00082954,0.00082954,0.00082954
5,32.442,0.35754,0.46724,0.14624,0.82511,0.74834,0.84408,0.59693,0.29369,0.46127,0.1887,0.00089392,0.00089392,0.00089392
6,39.1556,0.37985,0.48747,0.16687,0.7919,0.66225,0.7449,0.51191,0.34575,0.48045,0.23048,0.0008989,0.0008989,0.0008989
7,45.2658,0.36283,0.48052,0.14982,0.7909,0.78366,0.83482,0.60611,0.28274,0.48144,0.19446,0.000812,0.000812,0.000812
8,52.0402,0.35461,0.51663,0.14621,0.81626,0.72572,0.82556,0.59762,0.29205,0.50011,0.19647,0.000614,0.000614,0.000614
9,58.1293,0.38042,0.4804,0.15329,0.83765,0.74834,0.83134,0.6058,0.2896,0.42384,0.19353,0.000416,0.000416,0.000416
10,64.2533,0.37762,0.46762,0.14552,0.84484,0.75497,0.84876,0.62613,0.26597,0.41903,0.17782,0.000218,0.000218,0.000218
