epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.718,1.20567,1.37929,0.00936,0.74265,0.63065,0.73904,0.45044,1.14831,1.17246,0.01344,0.00183764,0.00183764,0.00183764
43,99.6081,1.24327,1.40437,0.00894,0.745,0.62031,0.71106,0.45478,1.11579,1.25782,0.01368,0.00183368,0.00183368,0.00183368
44,101.324,1.23878,1.35501,0.00879,0.71368,0.68212,0.74929,0.48209,1.09331,1.14062,0.01287,0.00182972,0.00182972,0.00182972
45,102.998,1.15811,1.40202,0.01001,0.73061,0.60706,0.67506,0.42532,1.03106,1.16912,0.01171,0.00182576,0.00182576,0.00182576
46,104.693,1.19635,1.36379,0.009,0.69441,0.70199,0.74243,0.45768,1.09562,1.1646,0.01225,0.0018218,0.0018218,0.0018218
47,106.379,1.19045,1.29302,0.0084,0.68932,0.66611,0.70342,0.45454,1.02026,1.16004,0.01093,0.00181784,0.00181784,0.00181784
48,108.108,1.2189,1.40813,0.00957,0.75022,0.67329,0.74647,0.46817,1.09557,1.00523,0.01249,0.00181388,0.00181388,0.00181388
49,109.944,1.17753,1.33988,0.00892,0.74626,0.64275,0.7233,0.45694,1.14272,0.99376,0.01265,0.00180992,0.00180992,0.00180992
50,111.64,1.19406,1.37417,0.00967,0.75627,0.61369,0.68948,0.4412,1.10647,1.03034,0.01279,0.00180596,0.00180596,0.00180596
51,113.347,1.17474,1.29758,0.00789,0.76126,0.65784,0.74047,0.4663,1.05594,1.01678,0.01135,0.001802,0.001802,0.001802
52,115.039,1.20828,1.29588,0.00818,0.72122,0.63963,0.71586,0.43203,1.11757,1.14535,0.01217,0.00179804,0.00179804,0.00179804
53,116.715,1.22264,1.39272,0.00923,0.7019,0.67329,0.72541,0.45593,1.06518,1.08285,0.01175,0.00179408,0.00179408,0.00179408
54,118.41,1.12999,1.2549,0.00856,0.74111,0.58138,0.69237,0.44189,0.99954,1.15928,0.01034,0.00179012,0.00179012,0.00179012
55,120.129,1.30763,1.4622,0.00923,0.74425,0.6424,0.72926,0.45422,1.12558,1.16656,0.0124,0.00178616,0.00178616,0.00178616
56,122.01,1.186,1.28901,0.00903,0.70599,0.66004,0.73616,0.47804,1.01988,1.00488,0.01137,0.0017822,0.0017822,0.0017822
57,123.682,1.15025,1.22808,0.00853,0.64892,0.59979,0.64263,0.40326,1.08111,1.22867,0.01238,0.00177824,0.00177824,0.00177824
58,125.391,1.18687,1.31416,0.0081,0.70907,0.66178,0.73783,0.46669,1.02445,1.35968,0.01159,0.00177428,0.00177428,0.00177428
59,127.089,1.21074,1.35202,0.00916,0.70823,0.70419,0.75164,0.48817,1.0296,1.10087,0.01183,0.00177032,0.00177032,0.00177032
60,128.846,1.21031,1.29749,0.0096,0.78712,0.64901,0.75126,0.47683,1.05245,1.03437,0.01217,0.00176636,0.00176636,0.00176636
61,130.528,1.19706,1.26837,0.00887,0.69351,0.66225,0.73109,0.4555,1.10241,1.00897,0.01201,0.0017624,0.0017624,0.0017624
62,132.446,1.22138,1.27738,0.00865,0.74177,0.68482,0.76298,0.48954,1.01563,0.99216,0.01143,0.00175844,0.00175844,0.00175844
63,134.185,1.16758,1.25572,0.00751,0.74974,0.65563,0.75917,0.49443,1.0614,0.9486,0.01172,0.00175448,0.00175448,0.00175448
64,135.945,1.1278,1.19505,0.00792,0.76146,0.58278,0.71009,0.45849,1.12066,1.11485,0.01239,0.00175052,0.00175052,0.00175052
65,137.631,1.22447,1.33017,0.00812,0.72611,0.60706,0.69225,0.44964,1.11258,1.16297,0.01283,0.00174656,0.00174656,0.00174656
66,139.331,1.15454,1.19742,0.00763,0.63305,0.64901,0.69132,0.43627,1.13229,1.10767,0.01302,0.0017426,0.0017426,0.0017426
67,141.195,1.24025,1.35085,0.00842,0.70122,0.71082,0.75837,0.49761,1.11169,0.94637,0.01332,0.00173864,0.00173864,0.00173864
68,142.962,1.1259,1.15884,0.00813,0.72027,0.69095,0.73711,0.48325,1.09704,0.96361,0.01235,0.00173468,0.00173468,0.00173468
69,144.623,1.20689,1.31391,0.00885,0.68616,0.71523,0.75007,0.48891,1.02931,1.05742,0.01158,0.00173072,0.00173072,0.00173072
70,146.341,1.12043,1.23805,0.00843,0.68886,0.65784,0.71944,0.49641,0.94049,1.05652,0.0105,0.00172676,0.00172676,0.00172676
71,148.061,1.15447,1.30314,0.00928,0.72397,0.62914,0.71621,0.48297,0.95368,1.09287,0.01065,0.0017228,0.0017228,0.0017228
72,149.759,1.15595,1.20661,0.00888,0.74036,0.70501,0.77051,0.50599,1.03636,1.08293,0.01184,0.00171884,0.00171884,0.00171884
73,151.637,1.22293,1.34564,0.00924,0.73978,0.71082,0.77043,0.48959,1.07972,0.95661,0.01186,0.00171488,0.00171488,0.00171488
74,153.355,1.20861,1.25445,0.0087,0.74315,0.71533,0.777,0.50521,1.04407,0.94081,0.01164,0.00171092,0.00171092,0.00171092
75,155.038,1.23245,1.28852,0.00928,0.77618,0.67366,0.77878,0.49424,1.16999,0.93086,0.01373,0.00170696,0.00170696,0.00170696
76,156.753,1.18051,1.2614,0.00917,0.75367,0.68874,0.76723,0.50646,1.03951,0.97627,0.01245,0.001703,0.001703,0.001703
77,158.452,1.13841,1.16206,0.00818,0.77857,0.69978,0.78492,0.5107,1.06091,0.98898,0.0125,0.00169904,0.00169904,0.00169904
78,160.21,1.20561,1.15723,0.00829,0.77154,0.68653,0.77414,0.50825,1.09685,0.96983,0.01261,0.00169508,0.00169508,0.00169508
79,161.898,1.12667,1.07177,0.00859,0.72933,0.73756,0.79452,0.51331,1.09256,0.89645,0.01368,0.00169112,0.00169112,0.00169112
80,163.809,1.21289,1.1454,0.00818,0.78419,0.67381,0.7836,0.52938,1.03548,0.9196,0.01224,0.00168716,0.00168716,0.00168716
81,165.517,1.21853,1.23267,0.0081,0.75051,0.69061,0.78402,0.52375,1.04049,0.88912,0.0118,0.0016832,0.0016832,0.0016832
82,167.246,1.11383,1.16075,0.00781,0.7203,0.68788,0.75521,0.50431,1.08165,1.06599,0.01224,0.00167924,0.00167924,0.00167924
83,168.948,1.13366,1.14006,0.00873,0.73755,0.64901,0.73115,0.48495,1.04167,1.0987,0.01183,0.00167528,0.00167528,0.00167528
84,170.688,1.23699,1.24642,0.00894,0.74744,0.65784,0.75118,0.48267,1.08774,1.0273,0.01297,0.00167132,0.00167132,0.00167132
85,172.381,1.21733,1.22042,0.0095,0.74681,0.67717,0.75114,0.48531,1.06944,0.98723,0.01209,0.00166736,0.00166736,0.00166736
86,174.117,1.18725,1.20812,0.00895,0.74367,0.7237,0.75328,0.50693,1.08529,0.90925,0.01284,0.0016634,0.0016634,0.0016634
87,176.009,1.25123,1.2205,0.00887,0.73791,0.72719,0.78607,0.51542,1.10285,0.86369,0.01254,0.00165944,0.00165944,0.00165944
88,177.75,1.18315,1.26114,0.00885,0.74651,0.69316,0.77382,0.51866,1.03213,0.96814,0.01171,0.00165548,0.00165548,0.00165548
89,179.43,1.14835,1.07181,0.00799,0.74674,0.70419,0.78071,0.51541,1.07279,0.96506,0.01268,0.00165152,0.00165152,0.00165152
