epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,293.222,0.48574,0.57072,0.21433,0.74142,0.73731,0.78416,0.54622,0.34567,0.55157,0.24558,0.00183368,0.00183368,0.00183368
44,300.518,0.45442,0.5652,0.20123,0.74738,0.67108,0.73907,0.50962,0.34788,0.677,0.23987,0.00182972,0.00182972,0.00182972
45,307.099,0.43341,0.58154,0.21255,0.75564,0.70311,0.75489,0.51513,0.37337,0.54707,0.28239,0.00182576,0.00182576,0.00182576
46,313.702,0.46186,0.57218,0.18989,0.72381,0.68433,0.71264,0.47924,0.39609,0.62785,0.3091,0.0018218,0.0018218,0.0018218
47,320.315,0.48975,0.56405,0.24349,0.71735,0.74614,0.75631,0.50744,0.37276,nan,0.2509,0.00181784,0.00181784,0.00181784
48,327.077,0.4583,0.5581,0.23432,0.778,0.70419,0.7774,0.53733,0.3405,nan,0.25813,0.00181388,0.00181388,0.00181388
49,333.642,0.48437,0.59019,0.21903,0.79488,0.67329,0.76651,0.54343,0.34061,0.56066,0.26621,0.00180992,0.00180992,0.00180992
50,340.13,0.39813,0.61243,0.18922,0.7467,0.71523,0.77824,0.54608,0.30678,0.55026,0.20091,0.00180596,0.00180596,0.00180596
51,346.893,0.48204,0.6219,0.23449,0.71955,0.67108,0.72317,0.50975,0.33303,0.59167,0.22411,0.001802,0.001802,0.001802
52,353.515,0.47061,0.59829,0.22035,0.61787,0.71523,0.68035,0.46171,0.37583,0.61603,0.25893,0.00179804,0.00179804,0.00179804
53,360.095,0.51246,0.61319,0.22841,0.77316,0.57182,0.66969,0.45827,0.35185,0.68897,0.2437,0.00179408,0.00179408,0.00179408
54,366.681,0.48042,0.603,0.21636,0.72734,0.71523,0.74109,0.51445,0.34731,0.632,0.2435,0.00179012,0.00179012,0.00179012
55,373.477,0.44538,0.59676,0.21511,0.70593,0.70479,0.72457,0.50549,0.38484,0.56878,0.30748,0.00178616,0.00178616,0.00178616
56,380.095,0.49636,0.59655,0.2418,0.75988,0.68653,0.73617,0.49913,0.32245,nan,0.22028,0.0017822,0.0017822,0.0017822
57,386.657,0.45592,0.6274,0.21713,0.71852,0.69873,0.7294,0.48557,0.35172,0.5469,0.2527,0.00177824,0.00177824,0.00177824
58,393.399,0.51974,0.6244,0.23556,0.64008,0.68433,0.66138,0.43297,0.41488,0.63602,0.29866,0.00177428,0.00177428,0.00177428
59,399.998,0.47776,0.60742,0.20775,0.7744,0.67441,0.76083,0.49845,0.36248,0.59636,0.27991,0.00177032,0.00177032,0.00177032
60,406.633,0.50255,0.59443,0.22734,0.7137,0.69757,0.73706,0.49961,0.38658,0.62191,0.28841,0.00176636,0.00176636,0.00176636
61,413.207,0.44334,0.57713,0.20053,0.68279,0.56543,0.62602,0.4215,0.38208,0.69306,0.26673,0.0017624,0.0017624,0.0017624
62,420.369,0.53602,0.56874,0.24534,0.71962,0.73656,0.73202,0.45568,0.42475,0.6124,0.32762,0.00175844,0.00175844,0.00175844
63,426.957,0.47449,0.64766,0.21414,0.72033,0.64018,0.69962,0.47868,0.35209,0.62694,0.24901,0.00175448,0.00175448,0.00175448
64,433.591,0.48316,0.59612,0.24024,0.74495,0.70279,0.75271,0.49623,0.37646,0.53172,0.27152,0.00175052,0.00175052,0.00175052
65,440.422,0.49171,0.56889,0.23174,0.76352,0.71965,0.77442,0.50761,0.36627,0.52955,0.28309,0.00174656,0.00174656,0.00174656
66,446.994,0.47656,0.57445,0.23897,0.78874,0.69757,0.77456,0.53232,0.3195,nan,0.20841,0.0017426,0.0017426,0.0017426
67,453.617,0.43487,0.5182,0.21498,0.72797,0.68433,0.73898,0.48246,0.37568,0.55927,0.26696,0.00173864,0.00173864,0.00173864
68,460.203,0.45864,0.53695,0.22635,0.73563,0.69536,0.74029,0.51201,0.32361,0.52595,0.22165,0.00173468,0.00173468,0.00173468
69,466.989,0.51452,0.5589,0.21793,0.73981,0.7281,0.79715,0.54126,0.32079,0.55496,0.22245,0.00173072,0.00173072,0.00173072
70,473.574,0.44657,0.57456,0.1859,0.66928,0.67329,0.67415,0.46699,0.34881,0.58228,0.27061,0.00172676,0.00172676,0.00172676
71,480.182,0.44378,0.57321,0.20508,0.72188,0.6755,0.7334,0.49025,0.38111,0.57074,0.27629,0.0017228,0.0017228,0.0017228
72,486.847,0.44797,0.5573,0.21109,0.64737,0.5011,0.4822,0.31925,nan,nan,nan,0.00171884,0.00171884,0.00171884
73,493.551,0.40693,0.5503,0.19142,0.59127,0.31788,0.3233,0.21842,nan,nan,nan,0.00171488,0.00171488,0.00171488
74,500.15,0.45899,0.57097,0.20549,0.64303,0.34595,0.32858,0.21519,nan,nan,nan,0.00171092,0.00171092,0.00171092
75,506.816,0.44861,0.59663,0.20887,0.62926,0.32671,0.31115,0.21303,nan,nan,nan,0.00170696,0.00170696,0.00170696
76,513.567,0.41606,0.53403,0.17833,0.46692,0.20309,0.16923,0.10877,nan,nan,nan,0.001703,0.001703,0.001703
77,520.117,0.43762,0.53647,0.19935,0.71175,0.51238,0.53373,0.36939,nan,nan,nan,0.00169904,0.00169904,0.00169904
78,526.736,0.44839,0.5878,0.2114,0.78996,0.68212,0.73635,0.51158,nan,nan,nan,0.00169508,0.00169508,0.00169508
79,533.492,0.47386,0.63845,0.2205,0.74011,0.51876,0.5409,0.37379,nan,nan,nan,0.00169112,0.00169112,0.00169112
80,540.14,0.49353,0.57594,0.21149,0.74503,0.72889,0.76557,0.52555,0.33581,0.52265,0.234,0.00168716,0.00168716,0.00168716
81,546.71,0.46114,0.55389,0.1982,0.7406,0.75631,0.77326,0.53605,0.34466,0.57669,0.23653,0.0016832,0.0016832,0.0016832
82,553.577,0.49742,0.56071,0.23503,0.76897,0.59382,0.64467,0.42966,nan,nan,nan,0.00167924,0.00167924,0.00167924
83,560.368,0.46541,0.51663,0.21081,0.75854,0.62693,0.65323,0.43175,nan,nan,nan,0.00167528,0.00167528,0.00167528
84,566.974,0.42737,0.54259,0.19492,0.78069,0.70419,0.78374,0.53304,0.34724,0.52633,0.23958,0.00167132,0.00167132,0.00167132
85,573.546,0.46645,0.56157,0.19852,0.7991,0.71123,0.79346,0.54729,0.31091,0.58153,0.22116,0.00166736,0.00166736,0.00166736
86,580.844,0.40692,0.55381,0.19509,0.75685,0.74834,0.78466,0.5383,0.32654,0.55567,0.24133,0.0016634,0.0016634,0.0016634
87,587.447,0.43788,0.53809,0.19178,0.73786,0.68653,0.74283,0.51148,0.33751,0.57627,0.24697,0.00165944,0.00165944,0.00165944
88,594.13,0.42084,0.58396,0.19024,0.78316,0.73289,0.79257,0.55062,0.32182,0.54286,0.21744,0.00165548,0.00165548,0.00165548
89,601.224,0.40477,0.5216,0.18965,0.76961,0.71082,0.75348,0.52465,0.3238,0.55571,0.21035,0.00165152,0.00165152,0.00165152
90,607.977,0.429,0.55058,0.19053,0.79538,0.73794,0.82049,0.57126,0.30779,0.5222,0.21701,0.00164756,0.00164756,0.00164756
91,615.053,0.43627,0.57384,0.20572,0.7656,0.70659,0.77251,0.55155,0.29031,0.582,0.19474,0.0016436,0.0016436,0.0016436
92,621.701,0.38401,0.52211,0.1729,0.7436,0.76159,0.80703,0.56828,0.33433,0.51355,0.25146,0.00163964,0.00163964,0.00163964
93,628.309,0.4415,0.50364,0.19017,0.74876,0.76972,0.80118,0.56511,0.30893,0.50482,0.2236,0.00163568,0.00163568,0.00163568
94,635.089,0.41705,0.5031,0.19814,0.80515,0.73886,0.81213,0.57808,0.3165,0.49708,0.22127,0.00163172,0.00163172,0.00163172
95,642.154,0.47707,0.51323,0.24585,0.77726,0.73182,0.7986,0.5797,0.31675,0.50483,0.22496,0.00162776,0.00162776,0.00162776
96,649.269,0.39866,0.53164,0.17671,0.77865,0.74393,0.81572,0.54784,0.31771,0.54517,0.22673,0.0016238,0.0016238,0.0016238
97,655.862,0.42157,0.52885,0.19571,0.81297,0.79029,0.83786,0.59189,0.29382,0.47777,0.22095,0.00161984,0.00161984,0.00161984
